Months_since_IRS,N,NTOTALdead,NTOTALfed,NTOTALexit,Group,Datasource
1,152,0,145,26,control,Agossa2014
2,73,0,71,14,control,Agossa2014
6,138,0,122,18,control,Agossa2014
0.25,22,2,17,2,control,UNPUBLISHED_Data_Corbel
0.5,16,0,16,3,control,UNPUBLISHED_Data_Corbel
0.75,28,0,26,8,control,UNPUBLISHED_Data_Corbel
1,39,0,37,10,control,UNPUBLISHED_Data_Corbel
1.25,53,0,45,20,control,UNPUBLISHED_Data_Corbel
1.5,56,0,52,12,control,UNPUBLISHED_Data_Corbel
1.75,44,1,42,16,control,UNPUBLISHED_Data_Corbel
2,42,0,37,13,control,UNPUBLISHED_Data_Corbel
2.25,103,0,93,32,control,UNPUBLISHED_Data_Corbel
2.5,56,0,56,8,control,UNPUBLISHED_Data_Corbel
2.75,52,0,45,12,control,UNPUBLISHED_Data_Corbel
3,137,0,99,55,control,UNPUBLISHED_Data_Corbel
3.25,57,0,50,7,control,UNPUBLISHED_Data_Corbel
3.5,117,1,110,18,control,UNPUBLISHED_Data_Corbel
3.75,40,0,39,6,control,UNPUBLISHED_Data_Corbel
4,22,0,22,3,control,UNPUBLISHED_Data_Corbel
4.25,27,0,27,6,control,UNPUBLISHED_Data_Corbel
4.5,31,0,31,8,control,UNPUBLISHED_Data_Corbel
4.75,46,0,46,23,control,UNPUBLISHED_Data_Corbel
5,49,1,49,19,control,UNPUBLISHED_Data_Corbel
5.25,52,1,52,20,control,UNPUBLISHED_Data_Corbel
5.5,55,1,55,27,control,UNPUBLISHED_Data_Corbel
5.75,55,1,55,25,control,UNPUBLISHED_Data_Corbel
6,56,1,55,27,control,UNPUBLISHED_Data_Corbel
6.25,59,1,58,23,control,UNPUBLISHED_Data_Corbel
6.5,54,1,53,21,control,UNPUBLISHED_Data_Corbel
6.75,50,0,49,23,control,UNPUBLISHED_Data_Corbel
7,71,0,70,25,control,UNPUBLISHED_Data_Corbel
7.25,72,0,71,23,control,UNPUBLISHED_Data_Corbel
7.5,88,0,87,33,control,UNPUBLISHED_Data_Corbel
7.75,97,0,97,34,control,UNPUBLISHED_Data_Corbel
8,111,0,111,36,control,UNPUBLISHED_Data_Corbel
8.25,130,0,128,32,control,UNPUBLISHED_Data_Corbel
8.5,125,0,123,34,control,UNPUBLISHED_Data_Corbel
8.75,108,0,106,29,control,UNPUBLISHED_Data_Corbel
9,124,0,122,26,control,UNPUBLISHED_Data_Corbel
9.25,118,0,115,17,control,UNPUBLISHED_Data_Corbel
9.5,121,0,118,27,control,UNPUBLISHED_Data_Corbel
9.75,108,0,105,24,control,UNPUBLISHED_Data_Corbel
1,736,24,696,440,control,Rowland 2013
2,568,56,544,240,control,Rowland 2013
3,1104,48,1088,376,control,Rowland 2013
4,1552,168,1328,648,control,Rowland 2013
5,1304,104,1168,576,control,Rowland 2013
6,984,152,744,448,control,Rowland 2013
7,1032,128,968,392,control,Rowland 2013
8,280,8,256,104,control,Rowland 2013
9,712,136,672,320,control,Rowland 2013
10,544,96,504,136,control,Rowland 2013
11,504,64,368,184,control,Rowland 2013
12,968,72,840,480,control,Rowland 2013
0.25,316,4,228,92,control,Ngufor_2016
0.5,188,4,76,76,control,Ngufor_2016
0.75,152,8,76,76,control,Ngufor_2016
1,76,0,56,20,control,Ngufor_2016
1.25,108,12,76,24,control,Ngufor_2016
1.5,92,0,52,28,control,Ngufor_2016
1.75,232,24,184,48,control,Ngufor_2016
2,76,12,56,16,control,Ngufor_2016
1,44,0,43,2,control,Agossa2015PLoSOne
2,49,0,33,6,control,Agossa2015PLoSOne
3,114,0,92,13,control,Agossa2015PLoSOne
4,125,0,103,13,control,Agossa2015PLoSOne
5,138,0,122,18,control,Agossa2015PLoSOne
6,136,0,120,18,control,Agossa2015PLoSOne
